SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Spread
76,USD Coin,USDC,2018-12-23,1.01775057366,1.00542633067,1.00802132115,1.01071878463,23629167.7302585,230406707.706327,0.012324242990000123
77,USD Coin,USDC,2018-12-24,1.02142800537,0.99842772302,1.01074871483,1.01157117484,43621600.9604667,230219938.837192,0.023000282349999956
78,USD Coin,USDC,2018-12-25,1.0283848552,1.00804620987,1.01019455115,1.01173711964,27610568.7712272,230303642.404413,0.02033864532999985
79,USD Coin,USDC,2018-12-26,1.02188952247,1.00677901101,1.01320897208,1.01362442282,19786403.0621094,230733088.199726,0.015110511460000087
80,USD Coin,USDC,2018-12-27,1.03388232386,1.0115791518,1.01559839249,1.01748047925,23019282.0575736,241190277.097648,0.022303172059999987
81,USD Coin,USDC,2018-12-28,1.01852677422,0.978583207646,1.01739027457,1.01121038247,28974097.7028868,244258933.08336,0.03994356657399989
82,USD Coin,USDC,2018-12-29,1.0402584327,1.00252900732,1.01088174072,1.0216647393,22783697.0968206,251416579.518138,0.037729425380000015
83,USD Coin,USDC,2018-12-30,1.02547277739,1.00965023922,1.0196053538,1.01316868995,18537225.1048192,249383514.72167,0.015822538170000122
84,USD Coin,USDC,2018-12-31,1.0257654161,1.00523556273,1.01239795896,1.01656512686,20975704.0948093,254230217.987737,0.020529853370000017
85,USD Coin,USDC,2019-01-01,1.02223034452,1.00867739698,1.01894586682,1.01330060417,17007852.8507509,261353425.183565,0.013552947540000027
86,USD Coin,USDC,2019-01-02,1.02026407872,1.00916846443,1.01426231099,1.01817261245,18125812.4028224,288816453.982704,0.011095614289999833
87,USD Coin,USDC,2019-01-03,1.02256171288,1.00995437534,1.0144576441,1.01357704583,15279811.1209056,290759445.09417,0.012607337539999985
88,USD Coin,USDC,2019-01-04,1.01763478865,1.00105767805,1.01524747494,1.00816049181,17203035.9694033,293621600.157558,0.01657711059999989
89,USD Coin,USDC,2019-01-05,1.0161178174,1.00245258284,1.00673318609,1.0110095967,15428171.0507512,294420174.104658,0.013665234560000128
90,USD Coin,USDC,2019-01-06,1.01528899416,0.989168825695,1.01074959984,1.01010804505,18503988.9997696,305397453.051633,0.026120168465000093
91,USD Coin,USDC,2019-01-07,1.0121680889,1.00162911089,1.00950885559,1.00535776026,18697630.3600134,316560982.708861,0.010538978010000033
92,USD Coin,USDC,2019-01-08,1.01662698057,1.00401604246,1.00605375725,1.00791827756,23189996.4648168,327134638.459624,0.012610938109999914
93,USD Coin,USDC,2019-01-09,1.01126055436,1.00076301964,1.0066143535,1.0022638175,23000567.4362357,337931396.126043,0.010497534720000035
94,USD Coin,USDC,2019-01-10,1.03479335086,1.00195026693,1.00284198513,1.01310360647,51534670.4267445,346525551.461309,0.03284308393000002
95,USD Coin,USDC,2019-01-11,1.01700663316,1.00770488862,1.01694212035,1.01473477283,25279714.6147911,356762455.949104,0.009301744540000101
96,USD Coin,USDC,2019-01-12,1.01749414232,1.00772695894,1.01478130779,1.01069137859,12617410.2893221,364888857.606942,0.009767183379999933
97,USD Coin,USDC,2019-01-13,1.02626798581,1.00831767512,1.01093513384,1.01110946279,16808894.4585324,372399548.300604,0.01795031068999986
98,USD Coin,USDC,2019-01-14,1.01663539259,0.998743541439,1.01101202736,1.00759202201,25825886.2649271,365745274.226616,0.017891851151000004
